is_std,ftd_price,min_level,avg_win_stddevsamp,max_win_stddevsamp,min_win_stddevsamp,num_days_ooc_rate,sum_total_ooc_rate,mailbox_wb_rate,mailbox_vault_key_chips_rate,mailbox_vault_coins_rate,spins_completed_rate,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,avg_daily_bonus_amount,max_daily_bonus_amount,min_daily_bonus_amount,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_ruby_rate,wildball_emerald_rate,wildball_specia_diamond_rate,vv_completed_rate
1,2.99,49,1.23,2.27,0.65,0.33,0.33,0.00,0.00,0.00,56,476047,0.39,0.50,0.31,26,44,2,1033333,1200000,900000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,72,1.56,1.75,1.38,0.13,0.25,0.00,0.00,0.00,21,1086721,0.51,0.55,0.46,2,3,2,900000,1100000,700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,4.99,173,7.43,15.70,0.56,0.43,0.14,0.00,0.00,0.29,24,4212243,1.92,5.98,0.33,35,71,0,787500,1200000,550000,0.00,0.00,0.14,0.00,1.00,0.00,0.00,0.00,0.14
0,4.99,176,1.76,1.76,1.76,0.00,0.00,0.00,0.00,0.00,21,1350573,0.50,0.50,0.50,51,51,51,750000,750000,750000,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0,24.99,88,2.28,5.29,0.11,0.50,0.50,0.00,0.00,0.00,28,7250194,0.53,0.93,0.10,56,132,0,866666,950000,700000,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
0,4.99,134,0.85,1.23,0.46,1.00,1.00,0.00,0.00,0.33,57,612268,0.34,0.45,0.18,0,0,0,950000,1200000,800000,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
0,2.99,70,5.51,16.38,0.00,0.71,0.86,0.00,0.00,0.00,24,799012,2.15,6.18,0.00,94,340,0,990000,1650000,700000,0.00,0.00,0.14,0.33,0.67,0.00,0.00,0.00,0.00
0,4.99,71,1.30,2.34,0.62,0.14,0.14,0.00,0.00,0.14,24,537000,0.41,0.45,0.32,196,341,60,883333,1350000,600000,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.14
0,9.99,105,7.78,7.78,7.78,0.20,0.60,0.00,0.00,0.00,34,4888223,0.55,0.55,0.55,0,0,0,800000,800000,800000,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
0,9.99,45,1.37,2.36,0.38,0.67,6.33,0.00,0.00,0.00,57,977226,0.29,0.44,0.14,0,1,0,725000,900000,550000,0.00,0.00,0.33,0.00,1.00,0.00,0.00,0.00,0.00
