is_std,ftd_price,num_days_ooc_per_day,sum_total_ooc_per_day,avg_win_multiplier,max_win_multiplier,min_win_multiplier,avg_total_wins,avg_wager,avg_rtp,max_rtp,min_rtp,avg_spins_left_in_bankroll,max_spins_left_in_bankroll,min_spins_left_in_bankroll,we_completed_rate,vault_tier_up_rate,vault_tier_dropdown_rate,wildball_silver_rate,wildball_gold_rate,wildball_emerald_ruby_rate,wildball_specia_diamond_rate,vv_completed_rate
0,9.99,0.13,6.88,187.35,384.51,68.67,0.33,282942.23,0.96,1.15,0.82,1418,2524,656,0.25,0,0,0.49,0.34,0.12,0.05,0.75
0,4.99,0.29,4.71,36.96,72.18,7.2,0.32,275611.57,0.78,1.16,0.38,57,165,0,0,0,0,0,0,0,0,0
0,4.99,0.88,78.88,107.86,257.1,18,0.38,181395.65,0.82,0.95,0.59,27,84,0,0,0.25,0,0.25,0.47,0.15,0.12,0.63
0,24.99,0.4,0.6,20.94,30.07,3,0.4,1404706.58,0.67,0.79,0.44,1026,2120,1,0,0,0,0.5,0.5,0,0,0.2
0,9.99,0.67,8.67,31.88,58.75,5,0.38,3821188.91,0.76,1.08,0.44,185,370,0,0,0.33,0,0.29,0.43,0.14,0.14,0.33
0,4.99,0.13,0.13,120.69,337,19.47,0.36,63746.43,1.03,1.87,0.73,515,881,224,0,0.13,0,0,0,0,0,0
0,4.99,0.67,1,24.19,32.39,16,0.34,579987.56,0.54,0.67,0.4,38,77,0,0,0,0,0,0,1,0,0
0,9.99,0.14,5,58.93,137.67,0.13,0.28,222364.57,0.73,1.71,0.01,717,1772,28,0,0,0.14,0.57,0.36,0.07,0,0
0,9.99,0.25,0.25,34.11,57.1,11.9,0.38,1214197.25,0.66,1.02,0.47,28,84,0,0,0,0,0,0,0,0,0
1,4.99,0.75,15,45.37,72.73,21,0.36,300347.25,0.72,0.8,0.67,8,17,0,0,0,0.25,0,1,0,0,0.25
0,9.99,0.67,0.33,161.73,190.47,133,0.37,514015.24,0.98,1.1,0.87,269,537,2,0,0.67,0.33,0.33,0.33,0.33,0,0
1,4.99,1,1,44.52,64.3,19.47,0.52,197889.68,0.79,0.92,0.71,23,50,0,0,0.33,0,0,1,0,0,0
1,24.99,0,0,66.52,87.33,51.73,0.36,474973.47,1.2,1.78,0.76,1292,2032,484,0,0,0,0.6,0.2,0.2,0,0
0,4.99,0.5,34,28.48,59.75,6.83,0.42,473377.98,0.72,0.95,0.58,30,84,0,0,0,0,0.67,0.33,0,0,0.25
0,4.99,0,0,16,25,10,0.48,404723.65,0.62,0.63,0.61,38,84,7,0,0,0,1,0,0,0,0.33
0,4.99,0,0,128.58,193.18,66.67,0.41,282804.52,0.93,1.09,0.75,408,897,149,0.83,0,0,0.36,0.44,0.13,0.07,1
1,2.99,0.25,0.25,225.77,382.13,66.8,0.34,192054.92,0.92,1,0.86,204,360,6,0.5,0,0,0.38,0.44,0.13,0.05,1
